Date,Open,High,Low,Close,Adj Close,Volume
2020-03-06,1.690000,1.700000,1.280000,1.300000,1.300000,35046500
2020-03-09,0.900000,0.900000,0.380000,0.420000,0.420000,96999900
2020-03-10,0.710000,0.720000,0.450000,0.490000,0.490000,70280900
2020-03-11,0.500000,0.620000,0.450000,0.600000,0.600000,43660600
2020-03-12,0.480000,0.650000,0.480000,0.550000,0.550000,45739900
2020-03-13,0.650000,0.930000,0.550000,0.660000,0.660000,45196700
2020-03-16,0.570000,0.680000,0.530000,0.570000,0.570000,36117000
2020-03-17,0.610000,0.610000,0.490000,0.510000,0.510000,28798000
2020-03-18,0.470000,0.480000,0.390000,0.430000,0.430000,32422200
2020-03-19,0.450000,0.570000,0.420000,0.500000,0.500000,31227200
2020-03-20,0.520000,0.550000,0.440000,0.440000,0.440000,28503300
2020-03-23,0.470000,0.490000,0.430000,0.490000,0.490000,18217400
2020-03-24,0.530000,0.530000,0.460000,0.520000,0.520000,22702600
2020-03-25,0.490000,0.620000,0.490000,0.600000,0.600000,32764000
2020-03-26,0.600000,0.800000,0.580000,0.670000,0.670000,37312400
2020-03-27,0.690000,0.690000,0.580000,0.580000,0.580000,27243900
2020-03-30,0.570000,0.580000,0.500000,0.530000,0.530000,22419900
2020-03-31,0.580000,0.600000,0.530000,0.550000,0.550000,16671000
2020-04-01,0.530000,0.530000,0.410000,0.410000,0.410000,37048000
2020-04-02,0.470000,0.520000,0.420000,0.430000,0.430000,44146700
2020-04-03,0.480000,0.500000,0.430000,0.490000,0.490000,34268400
2020-04-06,0.480000,0.510000,0.470000,0.490000,0.490000,33032500
2020-04-07,0.500000,0.530000,0.460000,0.480000,0.480000,30647400
2020-04-08,0.490000,0.500000,0.460000,0.490000,0.490000,31249400
2020-04-09,0.520000,0.600000,0.480000,0.510000,0.510000,66829300
2020-04-13,0.560000,0.570000,0.500000,0.520000,0.520000,36143500
2020-04-14,0.520000,0.520000,0.490000,0.500000,0.500000,23415000
2020-04-15,0.470000,0.480000,0.440000,0.470000,0.470000,25238900
2020-04-16,0.480000,0.480000,0.430000,0.440000,0.440000,24381300
2020-04-17,0.420000,0.440000,0.400000,0.440000,0.440000,32839800
2020-04-20,0.390000,0.430000,0.390000,0.410000,0.410000,27653300
2020-04-21,0.410000,0.420000,0.390000,0.410000,0.410000,24612200
2020-04-22,0.430000,0.460000,0.420000,0.430000,0.430000,23305200
2020-04-23,0.510000,0.670000,0.470000,0.590000,0.590000,117590400
2020-04-24,0.700000,0.700000,0.530000,0.590000,0.590000,77480700
2020-04-27,0.520000,0.580000,0.490000,0.560000,0.560000,34942800
2020-04-28,0.580000,0.610000,0.560000,0.600000,0.600000,27199100
2020-04-29,0.670000,0.810000,0.630000,0.780000,0.780000,73041800
2020-04-30,1.010000,1.100000,0.780000,0.940000,0.940000,159752800
2020-05-01,0.880000,0.940000,0.780000,0.820000,0.820000,53858900
2020-05-04,0.760000,0.890000,0.750000,0.860000,0.860000,44543200
2020-05-05,0.920000,0.920000,0.800000,0.810000,0.810000,49841800
2020-05-06,0.810000,0.847400,0.731000,0.770300,0.770300,38223493
